[2019-01-27 08:26:14,171] ================================================================ (start)
[2019-01-27 09:08:45,719] * JetBrains YouTrack 2018.4 runtime environment is successfully configured 
[2019-01-27 09:08:46,031] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2019-01-27 09:08:46,031] * Redirecting JetBrains YouTrack 2018.4 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2019-01-27 09:08:46,702] * Configuring Service-Container[bundleProcess] 
[2019-01-27 09:08:46,746] * Configuring Bundle Backend Service 
[2019-01-27 09:08:46,759] * Configuring Configuration Wizard 
[2019-01-27 09:08:46,823] * Starting Service-Container[bundleProcess] 
[2019-01-27 09:08:47,470] * Starting Bundle Backend Service 
[2019-01-27 09:08:54,093] * Stopping Configuration Wizard 
[2019-01-27 09:08:54,093] * Stopping Bundle Backend Service 
[2019-01-27 09:08:55,050] * Error while starting JetBrains YouTrack 2018.4: Service bundleBackend was started successfully, but shut down process has been initiated 
[2019-01-27 09:08:55,105] * Stopping Service-Container[bundleProcess] 
[2019-01-27 09:08:55,237] ================================================================ (finish)
[2019-01-27 09:09:10,457] ================================================================ (start)
[2019-01-27 09:09:13,295] * Configuring JetBrains YouTrack 2018.4 
[2019-01-27 09:09:13,339] * JetBrains YouTrack 2018.4 runtime environment is successfully configured 
[2019-01-27 09:09:13,657] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2019-01-27 09:09:13,658] * Redirecting JetBrains YouTrack 2018.4 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2019-01-27 09:09:14,245] * Configuring Service-Container[bundleProcess] 
[2019-01-27 09:09:14,256] * Configuring Bundle Backend Service 
[2019-01-27 09:09:14,276] * Configuring Configuration Wizard 
[2019-01-27 09:09:14,351] * Starting Service-Container[bundleProcess] 
[2019-01-27 09:09:15,234] * Starting Bundle Backend Service 
[2019-01-27 09:09:22,081] * Starting Configuration Wizard 
[2019-01-27 09:09:22,082] * JetBrains YouTrack 2018.4 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/?wizard_token=1Y6ncAjAMFjutlL22cR2] 
[2019-01-27 09:10:14,182] * Stopping Configuration Wizard 
[2019-01-27 09:10:14,230] * Stopping Bundle Backend Service 
[2019-01-27 09:10:14,252] * Stopping Service-Container[bundleProcess] 
[2019-01-27 09:10:14,840] ================================================================ (finish)
[2019-01-28 02:29:02,186] ================================================================ (start)
[2019-01-28 02:29:04,802] * Configuring JetBrains YouTrack 2018.4 
[2019-01-28 02:29:04,837] * JetBrains YouTrack 2018.4 runtime environment is successfully configured 
[2019-01-28 02:29:05,149] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2019-01-28 02:29:05,150] * Redirecting JetBrains YouTrack 2018.4 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2019-01-28 02:29:05,768] * Configuring Service-Container[bundleProcess] 
[2019-01-28 02:29:05,780] * Configuring Bundle Backend Service 
[2019-01-28 02:29:05,781] * Configuring Configuration Wizard 
[2019-01-28 02:29:05,844] * Starting Service-Container[bundleProcess] 
[2019-01-28 02:29:06,637] * Starting Bundle Backend Service 
[2019-01-28 02:29:14,416] * Starting Configuration Wizard 
[2019-01-28 02:29:14,417] * JetBrains YouTrack 2018.4 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/?wizard_token=wx6ThQ2EYF3GCGO0QzM2] 
